Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2024-2025,_______ ________,Public,______,ABU DHABI,____1,Field 1,214
2024-2025,_______ ________,Public,______,ABU DHABI,____2,Field 2,313
2024-2025,_______ ________,Public,______,ABU DHABI,________,French Language,23
2024-2025,_______ ________,Public,______,ABU DHABI,____ ____,General Science,194
2024-2025,_______ ________,Public,______,ABU DHABI,______ ______,Health Sciences,43
2024-2025,_______ ________,Public,______,ABU DHABI,_______ _________,Islamic Education,266
2024-2025,_______ ________,Public,______,ABU DHABI,____ _______ ____,KG Arabic,421
2024-2025,_______ ________,Public,______,ABU DHABI,____ _______ _______,KG English,216
2024-2025,_______ ________,Public,______,ABU DHABI,_________,Mathematics,495
2024-2025,_______ ________,Public,______,ABU DHABI,_______ _________,Music,95
2024-2025,_______ ________,Public,______,ABU DHABI,________ __________ ________ _______,National and Social Education,252
2024-2025,_______ ________,Public,______,ABU DHABI,__ _____,Not Applied,413
2024-2025,_______ ________,Public,______,ABU DHABI,_______ _______ ,Physical Education and Health,192
2024-2025,_______ ________,Public,______,ABU DHABI,________,Physics,135
2024-2025,_______ ________,Public,______,ABU DHABI,______ ______,Professional Skills,2
2024-2025,_______ ________,Public,______,ABU DHABI,_____ ____,Special Education,335
2024-2025,_______ ________,Public,______,ABU DHABI,______ _______,Visual Arts,95
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _______,Arabic Language,47
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______,Biology or Life Science,9
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _____,Business Management,7
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ ________ ________ _________,CCDI,22
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,________,Chemistry,9
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______,Chinese Language,5
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ ________ _________,Creative Design and Innovation,1
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____,Drama,7
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,Engineering Maintenance Electrical,Engineering Maintenance Electrical,1
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ __________,English,55
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____1,Field 1,11
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____2,Field 2,12
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,________,French Language,1
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____ ____,General Science,26
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,______ ______(____)/______ ______ (____),Health Science/Life Skills,3
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,______ ______,Health Sciences,3
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ _______,Information Technology,3
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Islamic Education,23
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____ _______ ____,KG Arabic,37
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,____ _______ _______,KG English,2
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_________,Mathematics,53
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Moral Education,3
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ _________,Music,4
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,________ __________ ________ _______,National and Social Education,24
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_______ _______ ,Physical Education and Health,18
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,________,Physics,17
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,______ ______,Professional Skills,2
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_________,Spanish Language,1
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,_____ ____,Special Education,23
2024-2025,_______ ________,Public,__ _______,Umm Al Quwain,______ _______,Visual Arts,11
2024-2025,_______ ________,Public,_______,SHARJAH,______ ________,Agricultural Sciences,1
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _______,Arabic Language,177
2024-2025,_______ ________,Public,_______,SHARJAH,Aviation,Aviation,1
2024-2025,_______ ________,Public,_______,SHARJAH,_______,Biology or Life Science,39
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _____,Business Management,16
2024-2025,_______ ________,Public,_______,SHARJAH,_______ ________ ________ _________,CCDI,74
2024-2025,_______ ________,Public,_______,SHARJAH,________,Chemistry,42
2024-2025,_______ ________,Public,_______,SHARJAH,_______,Chinese Language,36
2024-2025,_______ ________,Public,_______,SHARJAH,____ _________,Computer Science,6
2024-2025,_______ ________,Public,_______,SHARJAH,Computing and Artificial Intelligence,Computing and Artificial Intelligence,2
2024-2025,_______ ________,Public,_______,SHARJAH,_______ ________ _________,Creative Design and Innovation,9
2024-2025,_______ ________,Public,_______,SHARJAH,_____,Drama,27
2024-2025,_______ ________,Public,_______,SHARJAH,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,2
2024-2025,_______ ________,Public,_______,SHARJAH,_____ __________,English,235
2024-2025,_______ ________,Public,_______,SHARJAH,____1,Field 1,54
2024-2025,_______ ________,Public,_______,SHARJAH,____2,Field 2,52
2024-2025,_______ ________,Public,_______,SHARJAH,________,French Language,5
2024-2025,_______ ________,Public,_______,SHARJAH,____ ____,General Science,118
2024-2025,_______ ________,Public,_______,SHARJAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,15
2024-2025,_______ ________,Public,_______,SHARJAH,______ ______,Health Sciences,6
2024-2025,_______ ________,Public,_______,SHARJAH,_____ _______,Information Technology,9
2024-2025,_______ ________,Public,_______,SHARJAH,_______ _________,Islamic Education,101
2024-2025,_______ ________,Public,_______,SHARJAH,_________,Japanese Language,2
2024-2025,_______ ________,Public,_______,SHARJAH,____ _______ ____,KG Arabic,134
2024-2025,_______ ________,Public,_______,SHARJAH,____ _______ _______,KG English,16
2024-2025,_______ ________,Public,_______,SHARJAH,_________,Mathematics,258
2024-2025,_______ ________,Public,_______,SHARJAH,_______ _________,Moral Education,7
2024-2025,_______ ________,Public,_______,SHARJAH,_______ _________,Music,30
2024-2025,_______ ________,Public,_______,SHARJAH,________ __________ ________ _______,National and Social Education,109
2024-2025,_______ ________,Public,_______,SHARJAH,__ _____,Not Applied,1
2024-2025,_______ ________,Public,_______,SHARJAH,____ ________,Optional Courses,1
2024-2025,_______ ________,Public,_______,SHARJAH,_______ _______ ,Physical Education and Health,88
2024-2025,_______ ________,Public,_______,SHARJAH,________,Physics,64
2024-2025,_______ ________,Public,_______,SHARJAH,______ ______,Professional Skills,5
2024-2025,_______ ________,Public,_______,SHARJAH,_____ ____,Special Education,86
2024-2025,_______ ________,Public,_______,SHARJAH,______ _______,Visual Arts,36
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ________,Agricultural Sciences,1
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _______,Arabic Language,108
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,Aviation,Aviation,1
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______,Biology or Life Science,23
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _____,Business Management,9
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ ________ ________ _________,CCDI,49
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,Chemistry,21
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______,Chinese Language,14
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _________,Computer Science,1
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ ________ _________,Creative Design and Innovation,3
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____,Drama,13
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ __________,English,156
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____1,Field 1,42
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____2,Field 2,39
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,French Language,4
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ ____,General Science,77
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ______(____)/______ ______ (____),Health Science/Life Skills,2
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ ______,Health Sciences,9
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ _______,Information Technology,7
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _________,Islamic Education,65
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _______ ____,KG Arabic,93
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,____ _______ _______,KG English,17
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ ____,Learning Resources,1
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_________,Mathematics,161
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _________,Music,17
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,________ __________ ________ _______,National and Social Education,70
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_______ _______ ,Physical Education and Health,45
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,________,Physics,31
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,_____ ____,Special Education,41
2024-2025,_______ ________,Public,_______ / _______,Sharjah / Eastern,______ _______,Visual Arts,15
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _______,Arabic Language,93
2024-2025,_______ ________,Public,______,AL DHAFRA,_______,Biology or Life Science,24
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _____,Business Management,28
2024-2025,_______ ________,Public,______,AL DHAFRA,_______ ________ ________ _________,CCDI,58
2024-2025,_______ ________,Public,______,AL DHAFRA,________,Chemistry,26
2024-2025,_______ ________,Public,______,AL DHAFRA,_______,Chinese Language,22
2024-2025,_______ ________,Public,______,AL DHAFRA,_______ ________ _________,Creative Design and Innovation,1
2024-2025,_______ ________,Public,______,AL DHAFRA,_____,Drama,19
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ __________,English,100
2024-2025,_______ ________,Public,______,AL DHAFRA,____1,Field 1,50
2024-2025,_______ ________,Public,______,AL DHAFRA,____2,Field 2,43
2024-2025,_______ ________,Public,______,AL DHAFRA,________,French Language,3
2024-2025,_______ ________,Public,______,AL DHAFRA,____ ____,General Science,54
2024-2025,_______ ________,Public,______,AL DHAFRA,______ ______(____)/______ ______ (____),Health Science/Life Skills,9
2024-2025,_______ ________,Public,______,AL DHAFRA,______ ______,Health Sciences,16
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ _______,Information Technology,2
2024-2025,_______ ________,Public,______,AL DHAFRA,_______ _________,Islamic Education,63
2024-2025,_______ ________,Public,______,AL DHAFRA,____ _______ ____,KG Arabic,60
2024-2025,_______ ________,Public,______,AL DHAFRA,____ _______ _______,KG English,33
2024-2025,_______ ________,Public,______,AL DHAFRA,_________,Mathematics,121
2024-2025,_______ ________,Public,______,AL DHAFRA,_______ _________,Music,25
2024-2025,_______ ________,Public,______,AL DHAFRA,________ __________ ________ _______,National and Social Education,61
2024-2025,_______ ________,Public,______,AL DHAFRA,__ _____,Not Applied,64
2024-2025,_______ ________,Public,______,AL DHAFRA,_______ _______ ,Physical Education and Health,40
2024-2025,_______ ________,Public,______,AL DHAFRA,________,Physics,38
2024-2025,_______ ________,Public,______,AL DHAFRA,_____ ____,Special Education,44
2024-2025,_______ ________,Public,______,AL DHAFRA,______ _______,Visual Arts,28
2024-2025,_______ ________,Public,_____,AL AIN,______ ________,Agricultural Sciences,4
2024-2025,_______ ________,Public,_____,AL AIN,_____ _______ _ ________ _________,Arabic and Islamic Studies,1
2024-2025,_______ ________,Public,_____,AL AIN,_____ _______,Arabic Language,387
2024-2025,_______ ________,Public,_____,AL AIN,Aviation,Aviation,2
2024-2025,_______ ________,Public,_____,AL AIN,_______,Biology or Life Science,98
2024-2025,_______ ________,Public,_____,AL AIN,_____ _____,Business Management,54
2024-2025,_______ ________,Public,_____,AL AIN,_______ ________ ________ _________,CCDI,244
2024-2025,_______ ________,Public,_____,AL AIN,________,Chemistry,116
2024-2025,_______ ________,Public,_____,AL AIN,_______,Chinese Language,62
2024-2025,_______ ________,Public,_____,AL AIN,_______ ________ _________,Creative Design and Innovation,2
2024-2025,_______ ________,Public,_____,AL AIN,_____,Drama,60
2024-2025,_______ ________,Public,_____,AL AIN,_____ __________,English,407
2024-2025,_______ ________,Public,_____,AL AIN,____1,Field 1,218
2024-2025,_______ ________,Public,_____,AL AIN,____2,Field 2,244
2024-2025,_______ ________,Public,_____,AL AIN,________,French Language,9
2024-2025,_______ ________,Public,_____,AL AIN,____ ____,General Science,231
2024-2025,_______ ________,Public,_____,AL AIN,______ ______(____)/______ ______ (____),Health Science/Life Skills,4
2024-2025,_______ ________,Public,_____,AL AIN,______ ______,Health Sciences,57
2024-2025,_______ ________,Public,_____,AL AIN,_____ _______,Information Technology,1
2024-2025,_______ ________,Public,_____,AL AIN,_______ _________,Islamic Education,234
2024-2025,_______ ________,Public,_____,AL AIN,____ _______ ____,KG Arabic,379
2024-2025,_______ ________,Public,_____,AL AIN,____ _______ _______,KG English,219
2024-2025,_______ ________,Public,_____,AL AIN,_________,Mathematics,514
2024-2025,_______ ________,Public,_____,AL AIN,�______ __________,Mathematics and Science,1
2024-2025,_______ ________,Public,_____,AL AIN,_______ _________,Music,89
2024-2025,_______ ________,Public,_____,AL AIN,________ __________ ________ _______,National and Social Education,274
2024-2025,_______ ________,Public,_____,AL AIN,__ _____,Not Applied,425
2024-2025,_______ ________,Public,_____,AL AIN,_______ _______ ,Physical Education and Health,180
2024-2025,_______ ________,Public,_____,AL AIN,________,Physics,137
2024-2025,_______ ________,Public,_____,AL AIN,_________,Spanish Language,1
2024-2025,_______ ________,Public,_____,AL AIN,_____ ____,Special Education,320
2024-2025,_______ ________,Public,_____,AL AIN,______ _______,Visual Arts,92
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _______,Arabic Language,165
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,Aviation,Aviation,1
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______,Biology or Life Science,32
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _____,Business Management,12
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ ________ ________ _________,CCDI,76
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,________,Chemistry,29
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______,Chinese Language,5
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____ _________,Computer Science,1
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ ________ _________,Creative Design and Innovation,2
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____,Drama,19
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ __________,English,219
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____1,Field 1,62
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____2,Field 2,66
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,________,French Language,3
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,____ ____,General Science,102
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,______ ______(____)/______ ______ (____),Health Science/Life Skills,1
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,______ ______,Health Sciences,13
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_____ _______,Information Technology,5
2024-2025,_______ ________,Public,_______,AL FUJAIRAH,_______ _________,Islamic Education,97
